1 roomname4 activityname4 x4 y4 activityname4
2 roomname5 activityname5 x5 y5 activityname5
3 roomname6 activityname6 x6 y6 activityname6
4 roomname7 activityname7 7 10 activityname7
5 roomname7 activityname7 7 10 activityname7
6 roomname7 activityname7 7 10 activityname7
7 roomname7 activityname7 7 10 activityname7
8 roomname7 activityname7 7 10 activityname7
9 roomname7 activityname7 7 10 activityname7
10 roomname7 activityname7 7 10 activityname7
11 roomname7 activityname7 7 10 activityname7
12 roomname7 activityname7 7 10 activityname7
13 roomname7 activityname7 7 10 activityname7
14 roomname7 activityname7 7 10 activityname7
15 roomname7 activityname7 7 10 activityname7
16 roomname7 activityname7 7 10 activityname7
17 roomname7 activityname7 7 10 activityname7
18 roomname7 activityname7 7 10 activityname7
19 M1Z103 Webseminar1 1 9 1
20 M1Z103 webinar 1 10 1
21 M1Z103 webinar 1 9 1
22 M1Z103 webinar 1 11 1
23 M1Z103 webinar 1 12 3
24 M1Z103 webinar 1 15 2
25 M1Z103 webinar 2 15 2
